// HCs - 2025-09-05T20:39:10.043Z
//notes:Word of Crota - Rank 1, Tier S by TheAegisRelic __ Column 1: Repulsor Brace, Dragonfly __ Column 2: Destabilizing Rounds __ Origin Trait: Cursed Thrall
dimwishlist:item=120706239&perks=776531651,2048641572,1156201379
dimwishlist:item=120706239&perks=776531651,1926441324,1156201379
dimwishlist:item=120706239&perks=2541826827,2048641572,1156201379
dimwishlist:item=120706239&perks=2541826827,1926441324,1156201379
dimwishlist:item=120706239&perks=2848615171,2048641572,1156201379
dimwishlist:item=120706239&perks=2848615171,1926441324,1156201379
dimwishlist:item=120706239&perks=169755979,2048641572,1156201379
dimwishlist:item=120706239&perks=169755979,1926441324,1156201379
dimwishlist:item=3926103986&perks=776531651,2048641572,1156201379
dimwishlist:item=3926103986&perks=776531651,1926441324,1156201379
dimwishlist:item=3926103986&perks=2541826827,2048641572,1156201379
dimwishlist:item=3926103986&perks=2541826827,1926441324,1156201379
dimwishlist:item=3926103986&perks=2848615171,2048641572,1156201379
dimwishlist:item=3926103986&perks=2848615171,1926441324,1156201379
dimwishlist:item=3926103986&perks=169755979,2048641572,1156201379
dimwishlist:item=3926103986&perks=169755979,1926441324,1156201379



//notes:Posterity - Rank 2, Tier S by TheAegisRelic __ Column 1: Voltshot __ Column 2: Frenzy, Redirection __ Origin Trait: Bray Inheritance
dimwishlist:item=3281285075&perks=2173046394,4104185692,766321425
dimwishlist:item=3281285075&perks=2173046394,3007133316,766321425
dimwishlist:item=3281285075&perks=1720528630,4104185692,766321425
dimwishlist:item=3281285075&perks=1720528630,3007133316,766321425
dimwishlist:item=3281285075&perks=2173046394,3201496230,766321425
dimwishlist:item=3281285075&perks=2173046394,1545231802,766321425
dimwishlist:item=3281285075&perks=1720528630,3201496230,766321425
dimwishlist:item=3281285075&perks=1720528630,1545231802,766321425



//notes:Aureus Neutralizer - Rank 3, Tier S by TheAegisRelic __ Column 1: Vorpal Weapon, Grave Robber __ Column 2: Cascade Point, One-Two Punch, Trench Barrel __ Origin Trait: Hakke Breach Armaments
dimwishlist:item=3981920134&perks=1546637391,3751912585,1607056502
dimwishlist:item=3981920134&perks=1546637391,331667533,1607056502
dimwishlist:item=3981920134&perks=3418165135,3751912585,1607056502
dimwishlist:item=3981920134&perks=3418165135,331667533,1607056502
dimwishlist:item=3981920134&perks=1546637391,2679249093,1607056502
dimwishlist:item=3981920134&perks=1546637391,788178929,1607056502
dimwishlist:item=3981920134&perks=3418165135,2679249093,1607056502
dimwishlist:item=3981920134&perks=3418165135,788178929,1607056502
dimwishlist:item=3981920134&perks=1546637391,2360754333,1607056502
dimwishlist:item=3981920134&perks=1546637391,2459015849,1607056502
dimwishlist:item=3981920134&perks=3418165135,2360754333,1607056502
dimwishlist:item=3981920134&perks=3418165135,2459015849,1607056502
dimwishlist:item=3981920134&perks=1631667848,3751912585,1607056502
dimwishlist:item=3981920134&perks=1631667848,331667533,1607056502
dimwishlist:item=3981920134&perks=402033656,3751912585,1607056502
dimwishlist:item=3981920134&perks=402033656,331667533,1607056502
dimwishlist:item=3981920134&perks=1631667848,2679249093,1607056502
dimwishlist:item=3981920134&perks=1631667848,788178929,1607056502
dimwishlist:item=3981920134&perks=402033656,2679249093,1607056502
dimwishlist:item=3981920134&perks=402033656,788178929,1607056502
dimwishlist:item=3981920134&perks=1631667848,2360754333,1607056502
dimwishlist:item=3981920134&perks=1631667848,2459015849,1607056502
dimwishlist:item=3981920134&perks=402033656,2360754333,1607056502
dimwishlist:item=3981920134&perks=402033656,2459015849,1607056502



//notes:Sightline Survey - Rank 4, Tier A by TheAegisRelic __ Column 1: Enlightened Action __ Column 2: Voltshot __ Origin Trait: Radiolaria Transposer
dimwishlist:item=2350330520&perks=777589557,2173046394,253121539
dimwishlist:item=2350330520&perks=777589557,1720528630,253121539
dimwishlist:item=2350330520&perks=1771736209,2173046394,253121539
dimwishlist:item=2350330520&perks=1771736209,1720528630,253121539



//notes:Agape - Rank 5, Tier A by TheAegisRelic __ Column 1: Heal Clip, Rewind Rounds __ Column 2: Incandescent, Firefly, Precision Instrument __ Origin Trait: Exhaustive Research
dimwishlist:item=4124362340&perks=3017780555,4293542123,1906137414
dimwishlist:item=4124362340&perks=3017780555,2675184851,1906137414
dimwishlist:item=4124362340&perks=4223976499,4293542123,1906137414
dimwishlist:item=4124362340&perks=4223976499,2675184851,1906137414
dimwishlist:item=4124362340&perks=3017780555,1561789734,1906137414
dimwishlist:item=4124362340&perks=3017780555,1183436451,1906137414
dimwishlist:item=4124362340&perks=4223976499,1561789734,1906137414
dimwishlist:item=4124362340&perks=4223976499,1183436451,1906137414
dimwishlist:item=4124362340&perks=3017780555,555281244,1906137414
dimwishlist:item=4124362340&perks=3017780555,332733060,1906137414
dimwishlist:item=4124362340&perks=4223976499,555281244,1906137414
dimwishlist:item=4124362340&perks=4223976499,332733060,1906137414
dimwishlist:item=4124362340&perks=2578928832,4293542123,1906137414
dimwishlist:item=4124362340&perks=2578928832,2675184851,1906137414
dimwishlist:item=4124362340&perks=1563455254,4293542123,1906137414
dimwishlist:item=4124362340&perks=1563455254,2675184851,1906137414
dimwishlist:item=4124362340&perks=2578928832,1561789734,1906137414
dimwishlist:item=4124362340&perks=2578928832,1183436451,1906137414
dimwishlist:item=4124362340&perks=1563455254,1561789734,1906137414
dimwishlist:item=4124362340&perks=1563455254,1183436451,1906137414
dimwishlist:item=4124362340&perks=2578928832,555281244,1906137414
dimwishlist:item=4124362340&perks=2578928832,332733060,1906137414
dimwishlist:item=4124362340&perks=1563455254,555281244,1906137414
dimwishlist:item=4124362340&perks=1563455254,332733060,1906137414



//notes:Exalted Truth - Rank 6, Tier A by TheAegisRelic __ Column 1: Destabilizing Rounds __ Column 2: Repulsor Brace, One for All, Demoralize __ Origin Trait: One Quiet Moment
dimwishlist:item=548809020&perks=2048641572,776531651,4091460919
dimwishlist:item=548809020&perks=2048641572,2541826827,4091460919
dimwishlist:item=548809020&perks=1926441324,776531651,4091460919
dimwishlist:item=548809020&perks=1926441324,2541826827,4091460919
dimwishlist:item=548809020&perks=2048641572,4049631843,4091460919
dimwishlist:item=548809020&perks=2048641572,859780267,4091460919
dimwishlist:item=548809020&perks=1926441324,4049631843,4091460919
dimwishlist:item=548809020&perks=1926441324,859780267,4091460919
dimwishlist:item=548809020&perks=2048641572,1464081238,4091460919
dimwishlist:item=548809020&perks=2048641572,2813913866,4091460919
dimwishlist:item=548809020&perks=1926441324,1464081238,4091460919
dimwishlist:item=548809020&perks=1926441324,2813913866,4091460919
dimwishlist:item=1201528146&perks=2048641572,776531651,4091460919
dimwishlist:item=1201528146&perks=2048641572,2541826827,4091460919
dimwishlist:item=1201528146&perks=1926441324,776531651,4091460919
dimwishlist:item=1201528146&perks=1926441324,2541826827,4091460919
dimwishlist:item=1201528146&perks=2048641572,4049631843,4091460919
dimwishlist:item=1201528146&perks=2048641572,859780267,4091460919
dimwishlist:item=1201528146&perks=1926441324,4049631843,4091460919
dimwishlist:item=1201528146&perks=1926441324,859780267,4091460919
dimwishlist:item=1201528146&perks=2048641572,1464081238,4091460919
dimwishlist:item=1201528146&perks=2048641572,2813913866,4091460919
dimwishlist:item=1201528146&perks=1926441324,1464081238,4091460919
dimwishlist:item=1201528146&perks=1926441324,2813913866,4091460919
dimwishlist:item=1705843397&perks=2048641572,776531651,4091460919
dimwishlist:item=1705843397&perks=2048641572,2541826827,4091460919
dimwishlist:item=1705843397&perks=1926441324,776531651,4091460919
dimwishlist:item=1705843397&perks=1926441324,2541826827,4091460919
dimwishlist:item=1705843397&perks=2048641572,4049631843,4091460919
dimwishlist:item=1705843397&perks=2048641572,859780267,4091460919
dimwishlist:item=1705843397&perks=1926441324,4049631843,4091460919
dimwishlist:item=1705843397&perks=1926441324,859780267,4091460919
dimwishlist:item=1705843397&perks=2048641572,1464081238,4091460919
dimwishlist:item=1705843397&perks=2048641572,2813913866,4091460919
dimwishlist:item=1705843397&perks=1926441324,1464081238,4091460919
dimwishlist:item=1705843397&perks=1926441324,2813913866,4091460919
dimwishlist:item=3102421004&perks=2048641572,776531651,4091460919
dimwishlist:item=3102421004&perks=2048641572,2541826827,4091460919
dimwishlist:item=3102421004&perks=1926441324,776531651,4091460919
dimwishlist:item=3102421004&perks=1926441324,2541826827,4091460919
dimwishlist:item=3102421004&perks=2048641572,4049631843,4091460919
dimwishlist:item=3102421004&perks=2048641572,859780267,4091460919
dimwishlist:item=3102421004&perks=1926441324,4049631843,4091460919
dimwishlist:item=3102421004&perks=1926441324,859780267,4091460919
dimwishlist:item=3102421004&perks=2048641572,1464081238,4091460919
dimwishlist:item=3102421004&perks=2048641572,2813913866,4091460919
dimwishlist:item=3102421004&perks=1926441324,1464081238,4091460919
dimwishlist:item=3102421004&perks=1926441324,2813913866,4091460919
dimwishlist:item=3436626079&perks=2048641572,776531651,4091460919
dimwishlist:item=3436626079&perks=2048641572,2541826827,4091460919
dimwishlist:item=3436626079&perks=1926441324,776531651,4091460919
dimwishlist:item=3436626079&perks=1926441324,2541826827,4091460919
dimwishlist:item=3436626079&perks=2048641572,4049631843,4091460919
dimwishlist:item=3436626079&perks=2048641572,859780267,4091460919
dimwishlist:item=3436626079&perks=1926441324,4049631843,4091460919
dimwishlist:item=3436626079&perks=1926441324,859780267,4091460919
dimwishlist:item=3436626079&perks=2048641572,1464081238,4091460919
dimwishlist:item=3436626079&perks=2048641572,2813913866,4091460919
dimwishlist:item=3436626079&perks=1926441324,1464081238,4091460919
dimwishlist:item=3436626079&perks=1926441324,2813913866,4091460919
dimwishlist:item=3920882229&perks=2048641572,776531651,4091460919
dimwishlist:item=3920882229&perks=2048641572,2541826827,4091460919
dimwishlist:item=3920882229&perks=1926441324,776531651,4091460919
dimwishlist:item=3920882229&perks=1926441324,2541826827,4091460919
dimwishlist:item=3920882229&perks=2048641572,4049631843,4091460919
dimwishlist:item=3920882229&perks=2048641572,859780267,4091460919
dimwishlist:item=3920882229&perks=1926441324,4049631843,4091460919
dimwishlist:item=3920882229&perks=1926441324,859780267,4091460919
dimwishlist:item=3920882229&perks=2048641572,1464081238,4091460919
dimwishlist:item=3920882229&perks=2048641572,2813913866,4091460919
dimwishlist:item=3920882229&perks=1926441324,1464081238,4091460919
dimwishlist:item=3920882229&perks=1926441324,2813913866,4091460919



