// SMGs - 2025-09-13T18:16:27.959Z
//notes:Multimach CCX - Rank 1, Tier S by TheAegisRelic __ Column 1: Attrition Orbs __ Column 2: Kinetic Tremors, Frenzy __ Origin Trait: Field-Tested
dimwishlist:item=3211624072&perks=243981275,3891536761,2120661319
dimwishlist:item=3211624072&perks=243981275,1549370717,2120661319
dimwishlist:item=3211624072&perks=984655331,3891536761,2120661319
dimwishlist:item=3211624072&perks=984655331,1549370717,2120661319
dimwishlist:item=3211624072&perks=243981275,4104185692,2120661319
dimwishlist:item=3211624072&perks=243981275,3007133316,2120661319
dimwishlist:item=3211624072&perks=984655331,4104185692,2120661319
dimwishlist:item=3211624072&perks=984655331,3007133316,2120661319
dimwishlist:item=3717177717&perks=243981275,3891536761,2120661319
dimwishlist:item=3717177717&perks=243981275,1549370717,2120661319
dimwishlist:item=3717177717&perks=984655331,3891536761,2120661319
dimwishlist:item=3717177717&perks=984655331,1549370717,2120661319
dimwishlist:item=3717177717&perks=243981275,4104185692,2120661319
dimwishlist:item=3717177717&perks=243981275,3007133316,2120661319
dimwishlist:item=3717177717&perks=984655331,4104185692,2120661319
dimwishlist:item=3717177717&perks=984655331,3007133316,2120661319
dimwishlist:item=4265183314&perks=243981275,3891536761,2120661319
dimwishlist:item=4265183314&perks=243981275,1549370717,2120661319
dimwishlist:item=4265183314&perks=984655331,3891536761,2120661319
dimwishlist:item=4265183314&perks=984655331,1549370717,2120661319
dimwishlist:item=4265183314&perks=243981275,4104185692,2120661319
dimwishlist:item=4265183314&perks=243981275,3007133316,2120661319
dimwishlist:item=4265183314&perks=984655331,4104185692,2120661319
dimwishlist:item=4265183314&perks=984655331,3007133316,2120661319



//notes:Yeartide Apex - Rank 2, Tier S by TheAegisRelic __ Column 1: Heal Clip, Attrition Orbs, Demolitionist __ Column 2: Incandescent, Chaos Reshaped, Burning Ambition __ Origin Trait: Tex Balanced Stock
dimwishlist:item=2965080304&perks=3017780555,4293542123,2437618208
dimwishlist:item=2965080304&perks=3017780555,2675184851,2437618208
dimwishlist:item=2965080304&perks=4223976499,4293542123,2437618208
dimwishlist:item=2965080304&perks=4223976499,2675184851,2437618208
dimwishlist:item=2965080304&perks=3017780555,3640170453,2437618208
dimwishlist:item=2965080304&perks=3017780555,1817983009,2437618208
dimwishlist:item=2965080304&perks=4223976499,3640170453,2437618208
dimwishlist:item=2965080304&perks=4223976499,1817983009,2437618208
dimwishlist:item=2965080304&perks=3017780555,2890807135,2437618208
dimwishlist:item=2965080304&perks=3017780555,3581929919,2437618208
dimwishlist:item=2965080304&perks=4223976499,2890807135,2437618208
dimwishlist:item=2965080304&perks=4223976499,3581929919,2437618208
dimwishlist:item=2965080304&perks=243981275,4293542123,2437618208
dimwishlist:item=2965080304&perks=243981275,2675184851,2437618208
dimwishlist:item=2965080304&perks=984655331,4293542123,2437618208
dimwishlist:item=2965080304&perks=984655331,2675184851,2437618208
dimwishlist:item=2965080304&perks=243981275,3640170453,2437618208
dimwishlist:item=2965080304&perks=243981275,1817983009,2437618208
dimwishlist:item=2965080304&perks=984655331,3640170453,2437618208
dimwishlist:item=2965080304&perks=984655331,1817983009,2437618208
dimwishlist:item=2965080304&perks=243981275,2890807135,2437618208
dimwishlist:item=2965080304&perks=243981275,3581929919,2437618208
dimwishlist:item=2965080304&perks=984655331,2890807135,2437618208
dimwishlist:item=2965080304&perks=984655331,3581929919,2437618208
dimwishlist:item=2965080304&perks=3523296417,4293542123,2437618208
dimwishlist:item=2965080304&perks=3523296417,2675184851,2437618208
dimwishlist:item=2965080304&perks=1906147653,4293542123,2437618208
dimwishlist:item=2965080304&perks=1906147653,2675184851,2437618208
dimwishlist:item=2965080304&perks=3523296417,3640170453,2437618208
dimwishlist:item=2965080304&perks=3523296417,1817983009,2437618208
dimwishlist:item=2965080304&perks=1906147653,3640170453,2437618208
dimwishlist:item=2965080304&perks=1906147653,1817983009,2437618208
dimwishlist:item=2965080304&perks=3523296417,2890807135,2437618208
dimwishlist:item=2965080304&perks=3523296417,3581929919,2437618208
dimwishlist:item=2965080304&perks=1906147653,2890807135,2437618208
dimwishlist:item=2965080304&perks=1906147653,3581929919,2437618208
dimwishlist:item=3293207827&perks=3017780555,4293542123,2437618208
dimwishlist:item=3293207827&perks=3017780555,2675184851,2437618208
dimwishlist:item=3293207827&perks=4223976499,4293542123,2437618208
dimwishlist:item=3293207827&perks=4223976499,2675184851,2437618208
